"id","title","party","author","timestamp","term","count"
"25","Wirkung und Folgen der Negativzinsen der Schweizerischen Nationalbank","FDP-Liberale","Felix Gutzwiller","2015-03-27T09:53:00.000Z","EO","1"
"26","Wirkung und Folgen der Negativzinsen der Schweizerischen Nationalbank","FDP-Liberale","Felix Gutzwiller","2015-03-27T09:53:00.000Z","AHV/IV/EO","1"
"27","IV-Rentnerinnen und -rentner näher an die Arbeitswelt bringen","EVP","Maja Ingold","2015-03-27T09:54:58.000Z","IV","1"
"28","Abbau von Regulierungskosten. Bonusorientierte Kontrollintervalle für Betriebe und Anlagen","SVP","Thomas de Courten","2015-03-27T14:46:51.000Z","AHV","1"
"29","Abbau von Regulierungskosten. Abschaffung des unterjährigen Melde-Obligatoriums bei AHV und IV","SVP","Thomas de Courten","2015-03-27T14:49:21.000Z","AHV","1"
"30","Abbau von Regulierungskosten. Abschaffung des unterjährigen Melde-Obligatoriums bei AHV und IV","SVP","Thomas de Courten","2015-03-27T14:49:21.000Z","IV","1"
"31","Abbau von Regulierungskosten. Effizienzsteigerung durch Koordination von Arbeitgeberkontrollen","SVP","Thomas de Courten","2015-03-27T14:50:11.000Z","AHV","1"
"32","Auswirkungen einer Kündigung des Personenfreizügigkeitsabkommens","CVP","Barbara Schmid-Federer","2015-03-27T14:54:10.000Z","Personenfreizügigkeit","1"
"33","Negativzinsen und Einrichtungen der beruflichen Vorsorge","SP","Didier Berberat","2015-03-17T14:07:07.000Z","IV","1"
"34","Negativzinsen und Einrichtungen der beruflichen Vorsorge","SP","Didier Berberat","2015-03-17T14:07:07.000Z","EO","1"
"35","Negativzinsen und Einrichtungen der beruflichen Vorsorge","SP","Didier Berberat","2015-03-17T14:07:07.000Z","AHV/IV/EO","1"
"36","Negativzinsen für Sozialversicherungen vermeiden. Keine Ungleichbehandlung bei den Kantonen","SVP","Alex Kuprecht","2015-03-27T14:58:17.000Z","AHV","1"
"37","Negativzinsen für Sozialversicherungen vermeiden. Keine Ungleichbehandlung bei den Kantonen","SVP","Alex Kuprecht","2015-03-27T14:58:17.000Z","IV","1"
"38","Negativzinsen für Sozialversicherungen vermeiden. Keine Ungleichbehandlung bei den Kantonen","SVP","Alex Kuprecht","2015-03-27T14:58:17.000Z","EO","1"
"39","Negativzinsen für Sozialversicherungen vermeiden. Keine Ungleichbehandlung bei den Kantonen","SVP","Alex Kuprecht","2015-03-27T14:58:17.000Z","AHV/IV/EO","1"
"40","Negativzinsen für Vorsorgeeinrichtungen","SP","Jacques-André Maire","2015-03-27T14:59:53.000Z","AHV","1"
"41","Negativzinsen für Vorsorgeeinrichtungen","SP","Jacques-André Maire","2015-03-27T14:59:53.000Z","IV","1"
"42","Negativzinsen für Vorsorgeeinrichtungen","SP","Jacques-André Maire","2015-03-27T14:59:53.000Z","EO","1"
"43","Negativzinsen für Vorsorgeeinrichtungen","SP","Jacques-André Maire","2015-03-27T14:59:53.000Z","AHV/IV/EO","1"
"44","Selbstbehalt in der Krankenversicherung als Teil der Kostenbeteiligung. Wie weiter?","FDP-Liberale","Daniel Stolz","2015-03-27T15:00:37.000Z","AHV","1"
"45","Finanzierung beruflicher Weiterbildung mit Mitteln der Erwerbsersatzordnung","SP","Daniel Jositsch","2015-03-27T15:03:00.000Z","EO","1"
"46","Gewinne der Schweizerischen Nationalbank. Verwendung und Auswirkung","SP","Philipp Hadorn","2015-03-27T15:03:20.000Z","AHV","1"
"47","Nationale Strategie zur Verbesserung der Beschäftigungschancen und der Reintegration erwerbsloser älterer Menschen in den Arbeitsmarkt","SP","Bea Heim","2015-03-27T15:05:09.000Z","IV","1"
"48","Korrekte Behandlung von Unternehmern in der Arbeitslosenversicherung","FDP-Liberale","Andrea Caroni","2015-03-27T15:05:29.000Z","AHV","1"
"49","Verbot der Auszahlung von Löhnen in Euro","SP","Marina Carobbio Guscetti","2015-03-27T15:05:51.000Z","Personenfreizügigkeit","1"
"50","Verantwortlichkeitsprobleme im Zusammenhang mit Kompetenzverschiebungen zwischen Gesundheitsberufen","FDP-Liberale","Ignazio Cassis","2015-03-27T15:06:06.000Z","IV","1"
"51","Ungleichbehandlung von Heimbewohnerinnen und Heimbewohnern","CVP","Christian Lohr","2015-03-27T15:06:18.000Z","IV","1"
"52","Nationale Konferenz zur Arbeitsmarktintegration von Menschen mit Behinderung","SP","Pascale Bruderer Wyss","2015-03-27T15:07:34.000Z","IV","1"
"53","Starker Franken und Einkaufstourismus","GPS","Robert Cramer","2015-03-27T15:08:01.000Z","Personenfreizügigkeit","1"
"54","Erasmus plus und Horizon 2020. Die Schweiz als Drittland","FDP-Liberale","Felix Gutzwiller","2015-03-27T15:08:52.000Z","Personenfreizügigkeit","1"
"55","Reform der Altersvorsorge und Anreiz zur Förderung der Erwerbstätigkeit über das AHV-Alter hinaus","SVP","Maximilian Reimann","2015-03-19T15:01:07.000Z","AHV","1"
"56","CO2-Verordnung. Grundlagen für eine Umsetzung der Härtefallregelung ohne Willkür","SVP","Thomas de Courten","2015-03-27T16:08:50.000Z","Personenfreizügigkeit","1"
"57","Saubere Grundlagen zur richtigen Berechnung des effektiven Rentenalters","FDP-Liberale","Bruno Pezzatti","2015-03-27T16:10:10.000Z","AHV","1"
"58","Aufenthaltsrechtliche Privilegierung von Staatenlosen?","CVP","Gerhard Pfister","2015-03-27T16:10:23.000Z","Asyl","1"
"59","Neue Auswanderungswelle aus Kosovo. Was tun?","SP","Martin Naef","2015-03-27T16:14:20.000Z","Asyl","1"
"60","Casinò Admiral AG von Mendrisio. Aufgabe der Zahlung der nach Konzession vorgesehenen gemeinnützigen Beiträge","CVP","Marco Romano","2015-03-27T16:14:52.000Z","AHV","1"
"61","Casinò Admiral AG von Mendrisio. Aufgabe der Zahlung der nach Konzession vorgesehenen gemeinnützigen Beiträge","CVP","Marco Romano","2015-03-27T16:14:52.000Z","IV","1"
"62","Präventive Massnahmen zur Verbesserung der Rechtssicherheit für Unternehmen bei der kettenhaften Weitervergabe von Arbeiten im Bausektor","FDP-Liberale","Christa Markwalder","2015-03-27T16:15:28.000Z","Personenfreizügigkeit","1"
"63","Revision des Entsendegesetzes","FDP-Liberale","Christa Markwalder","2015-03-27T16:15:53.000Z","Personenfreizügigkeit","1"
"64","Bürokratieabbau durch die Harmonisierung der Betreibungsregister","glp","Thomas Maier","2015-03-27T16:16:49.000Z","AHV","1"
"65","Ausschöpfung der gemäss Landverkehrsabkommen zulässigen LSVA-Höchstbeträge","GPS","Regula Rytz","2015-03-27T16:19:51.000Z","IV","1"
"66","AHV-Fonds. Unterdurchschnittliche Performance und mangelhafte Transparenz","SVP","Thomas Aeschi","2015-03-27T16:20:12.000Z","AHV","1"
"67","AHV-Fonds. Unterdurchschnittliche Performance und mangelhafte Transparenz","SVP","Thomas Aeschi","2015-03-27T16:20:12.000Z","IV","1"
"68","AHV-Fonds. Unterdurchschnittliche Performance und mangelhafte Transparenz","SVP","Thomas Aeschi","2015-03-27T16:20:12.000Z","EO","1"
"69","AHV-Fonds. Unterdurchschnittliche Performance und mangelhafte Transparenz","SVP","Thomas Aeschi","2015-03-27T16:20:12.000Z","AHV/IV/EO","1"
"70","Kriegsmaterial. Kohärenz der Politik der verschiedenen Departemente","GPS","Francine John-Calame","2015-03-27T16:22:52.000Z","IV","1"
"71","Asylgesetz. Gewährung vorübergehenden Schutzes speziell für Menschen aus Syrien?","FDP-Liberale","Isabelle Moret","2015-03-27T16:23:40.000Z","Asyl","1"
"72","Arbeitsmarktintegration von Flüchtlingen und vorläufig Aufgenommenen","SP","Silvia Schenker","2015-03-27T16:28:40.000Z","Asyl","1"
"73","Nutzen des Freizügigkeitsabkommens. Datenerfassung der erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum","CVP","Kathy Riklin","2015-03-27T16:30:07.000Z","Personenfreizügigkeit","1"
"74","Schutz syrischer Flüchtlinge. Individuelle Einreise fördern","CVP","Dominique de Buman","2015-03-27T16:39:13.000Z","Asyl","1"
"75","IV-Leistungen für Menschen mit Behinderung, die das AHV-Alter erreicht haben","GPS","Luc Recordon","2015-03-27T16:40:31.000Z","AHV","1"
"76","IV-Leistungen für Menschen mit Behinderung, die das AHV-Alter erreicht haben","GPS","Luc Recordon","2015-03-27T16:40:31.000Z","IV","1"
"77","Optimierung der flankierenden Massnahmen zur Personenfreizügigkeit. Wiederaufnahme","Lega","Lorenzo Quadri","2015-05-05T08:19:14.000Z","Personenfreizügigkeit","1"
"78","Frankenstärke. Entlastung von Arbeitnehmern und Arbeitgebern durch tiefere EO-Beiträge","FDP-Liberale","Ruedi Noser","2015-05-06T14:35:09.000Z","EO","1"
"79","Migrationsfluss und Druck auf die Südgrenze. Strategien und Instrumente","CVP","Marco Romano","2015-05-06T14:41:14.000Z","IV","1"
"80","Unternehmen und Arbeitnehmende entlasten. Senkung der EO-Sätze statt Verlängerung","FDP-Liberale","Karin Keller-Sutter","2015-06-04T15:08:53.000Z","EO","1"
"81","Zivildienst. Familienverträglichkeit?","SP","Yvonne Feri","2015-06-04T17:07:28.000Z","EO","1"
"82","Zuordnung der Ausgleichsfonds AHV/IV/EO an die Departemente","FDP-Liberale","Olivier Feller","2015-03-31T14:15:55.000Z","AHV","1"
"83","Zuordnung der Ausgleichsfonds AHV/IV/EO an die Departemente","FDP-Liberale","Olivier Feller","2015-03-31T14:15:55.000Z","IV","1"
"84","Zuordnung der Ausgleichsfonds AHV/IV/EO an die Departemente","FDP-Liberale","Olivier Feller","2015-03-31T14:15:55.000Z","EO","1"
"85","Zuordnung der Ausgleichsfonds AHV/IV/EO an die Departemente","FDP-Liberale","Olivier Feller","2015-03-31T14:15:55.000Z","AHV/IV/EO","1"
"86","Zusammenfassung der Vernehmlassungsverfahren zu den Ausgleichsfonds AHV/IV/EO","FDP-Liberale","Olivier Feller","2015-03-31T14:16:11.000Z","IV","1"
"87","Zusammenfassung der Vernehmlassungsverfahren zu den Ausgleichsfonds AHV/IV/EO","FDP-Liberale","Olivier Feller","2015-03-31T14:16:11.000Z","EO","1"
"88","Zusammenfassung der Vernehmlassungsverfahren zu den Ausgleichsfonds AHV/IV/EO","FDP-Liberale","Olivier Feller","2015-03-31T14:16:11.000Z","AHV/IV/EO","1"
"89","Jahrelange IV-Abklärungen. Einzelfälle oder verbreitete Praxis?","GPS","Balthasar Glättli","2015-03-31T14:17:17.000Z","IV","1"
"90","Human Brain Project. Auswirkungen einer allfälligen Kündigung des Personenfreizügigkeitsabkommens","CVP","Barbara Schmid-Federer","2015-04-01T11:03:46.000Z","Personenfreizügigkeit","1"
"91","Auswirkungen einer Kündigung des Personenfreizügigkeitsabkommens auf internationale Organisationen","SP","Martin Naef","2015-04-01T11:23:00.000Z","Personenfreizügigkeit","1"
"92","IV-Pflegeleistungen","SP","Yvonne Feri","2015-04-01T11:29:09.000Z","IV","1"
"93","Aufnahme von 3000 Syrern","SVP","Nadja Pieren","2015-04-01T11:32:47.000Z","Asyl","1"
"94","Filmförderung und Media-Programm. Auswirkungen einer Kündigung des Personenfreizügigkeitsabkommens","GPS","Aline Trede","2015-04-01T11:31:22.000Z","Personenfreizügigkeit","1"
"95","Personenfreizügigkeit und Rüstungszusammenarbeit mit der Europäischen Union","FDP-Liberale","Christa Markwalder","2015-04-01T11:03:10.000Z","Personenfreizügigkeit","1"
"96","Rekordgewinne bei Firmen und Rekordausfälle bei den Bundessteuern 2014. Wie passt das zusammen?","SP","Margret Kiener Nellen","2015-04-01T11:01:29.000Z","AHV","1"
"97","Anspruch auf Senioren-Generalabonnement. Verstoss gegen die Gleichberechtigung von Mann und Frau?","SVP","Maximilian Reimann","2015-06-03T09:42:53.000Z","AHV","1"
"98","Fördert das Bundesamt für Sozialversicherungen den Einkauf im Ausland?","SVP","Markus Hausammann","2015-06-03T13:59:57.000Z","AHV","1"
"99","Fördert das Bundesamt für Sozialversicherungen den Einkauf im Ausland?","SVP","Markus Hausammann","2015-06-03T13:59:57.000Z","IV","1"
"100","Abstimmung vom 14. Juni 2015. Erbschaftssteuerreform gibt viel mehr Geld für AHV und Kantone","SP","Margret Kiener Nellen","2015-06-03T15:15:42.000Z","AHV","1"
"101","Mehrwertsteuer. Dauerhafte Verankerung des Sondersatzes für Beherbergungsleistungen","CVP","Dominique de Buman","2015-03-30T14:08:17.000Z","Frankenstärke","1"
"102","Qualität und Transparenz in der Gesundheitsversorgung durchsetzen","CVP","Ruth Humbel","2015-03-30T14:09:55.000Z","KVG","1"
"103","Frankenstärke. SNB-Protokolle veröffentlichen","SP","Susanne Leutenegger Oberholzer","2015-03-30T14:10:29.000Z","Frankenstärke","1"
"104","Umsetzung der Segmentierung bei der Branchenorganisation Milch","SVP","Albert Rösti","2015-03-30T14:13:04.000Z","Frankenstärke","1"
"105","Sollen Jugendliche für die Schulden der Eltern aufkommen?","SP","Bea Heim","2015-03-30T14:16:29.000Z","KVG","1"
"106","Einführung von Teilpauschalen im Bereich der Psychiatrie. Folgen für die Behandlung von psychischen Erkrankungen","SP","Marina Carobbio Guscetti","2015-03-30T14:17:26.000Z","KVG","1"
"107","Mehr Flexibilität im Beschaffungswesen","SVP","Hans Fehr","2015-05-06T14:46:39.000Z","Frankenstärke","1"
"108","Fördert das Bundesamt für Sozialversicherungen den Einkauf im Ausland?","SVP","Markus Hausammann","2015-06-04T15:01:18.000Z","KVG","1"
"109","Zukunftsperspektiven für die Schweiz","CVP","Konrad Graber","2015-03-27T09:25:53.000Z","Frankenstärke","1"
"110","Unflexible Haltung beim BFE","FDP-Liberale","Daniela Schneeberger","2015-03-27T09:26:39.000Z","Frankenstärke","1"
"111","Swissness-Vorlage. Aufschieben und vereinfachen","SVP","Andrea Martina Geissbühler","2015-03-27T09:28:20.000Z","Frankenstärke","1"
"112","Medikamentenpreise senken","SP","Bea Heim","2015-03-27T09:42:43.000Z","KVG","1"
"113","Verkaufte Patienten","SP","Bea Heim","2015-03-27T09:42:57.000Z","KVG","1"
"114","Frankenstärke. Swissness-Vorlage sistieren","CVP","Barbara Schmid-Federer","2015-03-27T09:43:53.000Z","Frankenstärke","1"
"115","Markenschutzverordnung. Administrativen Aufwand tief halten","FDP-Liberale","Corina Eichenberger-Walther","2015-03-27T09:44:37.000Z","Frankenstärke","1"
"116","Praktikable Umsetzung der Swissness-Vorlage","FDP-Liberale","Corina Eichenberger-Walther","2015-03-27T09:44:47.000Z","Frankenstärke","1"
"117","Reduktion des Mehrwertsteuersatzes für das Gastgewerbe und die Hotellerie","SVP","Heinz Brand","2015-03-27T09:45:56.000Z","Frankenstärke","1"
"118","Rohholztransporte. Erhöhung des zulässigen Gesamtgewichts von 40 auf 44 Tonnen","SVP","Jean-François Rime","2015-03-27T09:47:03.000Z","Frankenstärke","1"
"119","Finanzhilfen für Schweizer Exportunternehmen, damit sich diese an Messen und Ausstellungen im Ausland präsentieren können","SVP","Jean-Pierre Graber","2015-03-27T09:47:59.000Z","Frankenstärke","1"
"120","Rohholztransporte. Erhöhung des zulässigen Gesamtgewichts von 40 auf 44 Tonnen","FDP-Liberale","Hans Hess","2015-03-27T09:48:54.000Z","Frankenstärke","1"
"121","Bekanntgabe der Arbeitszeiten. Verlängerung der Frist auf vier Wochen","SP","Jacques-André Maire","2015-03-27T09:51:43.000Z","Frankenstärke","1"
"122","Überzeit. Gleichbehandlung von Teilzeit- und Vollzeitbeschäftigten","SP","Jacques-André Maire","2015-03-27T09:51:57.000Z","Frankenstärke","1"
"123","Wirkung und Folgen der Negativzinsen der Schweizerischen Nationalbank","FDP-Liberale","Felix Gutzwiller","2015-03-27T09:53:00.000Z","Frankenstärke","1"
"124","Abbau von Regulierungskosten. Effizienzsteigerung durch Koordination von Arbeitgeberkontrollen","SVP","Thomas de Courten","2015-03-27T14:50:11.000Z","KVG","1"
"125","KVG. Anpassung der ordentlichen Franchise","BDP","Martin Landolt","2015-03-27T14:52:29.000Z","KVG","1"
"126","Monitoring der Standortattraktivität der Schweiz","BDP","Martin Landolt","2015-03-27T14:52:41.000Z","Unternehmenssteuerreform","1"
"127","Innovationsförderung für KMU. Rückstellungen für Forschung und Entwicklung ermöglichen","SP","Jacqueline Badran","2015-03-27T14:53:46.000Z","Unternehmenssteuerreform","1"
"128","Lockerung der Anspruchsvoraussetzungen für Kurzarbeitsentschädigungen im Dienstleistungssektor","FDP-Liberale","Olivier Feller","2015-03-27T14:56:01.000Z","Frankenstärke","1"
"129","Negativzinsen für Sozialversicherungen vermeiden. Keine Ungleichbehandlung bei den Kantonen","SVP","Alex Kuprecht","2015-03-27T14:58:17.000Z","KVG","1"
"130","Medikamente. Dringende Änderungen am Preisfestsetzungssystem","SVP","Roland Eberle","2015-03-27T14:58:28.000Z","KVG","1"
"131","Selbstbehalt in der Krankenversicherung als Teil der Kostenbeteiligung. Wie weiter?","FDP-Liberale","Daniel Stolz","2015-03-27T15:00:37.000Z","KVG","1"
"132","Frankenstärke. Aufstockung der KTI-Kredite","GPS","Louis Schelbert","2015-03-27T15:02:45.000Z","Frankenstärke","1"
"133","Revision der Tarifstruktur Tarmed","glp","Thomas Weibel","2015-03-27T15:03:08.000Z","KVG","1"
"134","Frankenstärke. Folgen auf Schuldenbremse","SP","Philipp Hadorn","2015-03-27T15:03:32.000Z","Frankenstärke","1"
"135","60 Prozent der neuen Arzneimittel ohne Zusatznutzen, aber zu höheren Preisen?","SP","Bea Heim","2015-03-27T15:04:44.000Z","KVG","1"
"136","Senkung der unnötigen Verwaltungskosten. Sofortige Umsetzung","CVP","Jean-René Fournier","2015-03-27T15:08:23.000Z","Unternehmenssteuerreform","1"
"137","Volkswirtschaftliche Auswirkungen der Swissness-Vorlage vor der Inkraftsetzung prüfen","SVP","Hannes Germann","2015-03-27T15:09:13.000Z","Frankenstärke","1"
"138","Zweifel an der Wirksamkeit und der Opportunität von Massnahmen nach den Artikeln 19 und 20 KVG","SVP","Alex Kuprecht","2015-03-27T15:10:28.000Z","KVG","1"
"139","Burnoutsyndrom und UVG","SP","Didier Berberat","2015-03-27T15:11:02.000Z","KVG","1"
"140","Kostenvergleich von Substitutionsbehandlungen und abstinenzorientierten Therapien","SVP","Andrea Martina Geissbühler","2015-03-27T15:12:59.000Z","KVG","1"
"141","Frankenkrise. Innovationsförderung verstärken","BDP","Hans Grunder","2015-03-27T15:14:22.000Z","Frankenstärke","1"
"142","Wie lassen sich die Rahmenbedingungen für Pharma-KMU verbessern?","FDP-Liberale","Daniel Stolz","2015-03-27T16:09:33.000Z","KVG","1"
"143","Frankenstärke und Förderung des Tourismus. Steuerabzug für Ferien im Inland","SVP","Jean-Pierre Grin","2015-03-27T16:11:04.000Z","Frankenstärke","1"
"144","Ausgleich für die frankenbedingten Verluste in der Tourismusbranche. Steuerabzug für Ferien in der Schweiz","Lega","Lorenzo Quadri","2015-03-27T16:11:17.000Z","Frankenstärke","1"
"145","Qualität der Brustkrebsuntersuchungen","SP","Bea Heim","2015-03-27T16:19:09.000Z","KVG","1"
"146","Nutzen des Freizügigkeitsabkommens. Datenerfassung der erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum","CVP","Kathy Riklin","2015-03-27T16:30:07.000Z","KVG","1"
"147","Starker Franken. Eine Chance für die Schweiz von morgen?","FDP-Liberale","Fathi Derder","2015-03-27T16:37:22.000Z","Frankenstärke","1"
"148","Investitionsprogramm für die Informationsgesellschaft ankurbeln","FDP-Liberale","Fathi Derder","2015-03-27T16:37:52.000Z","Frankenstärke","1"
"149","Starker Franken. Einsparungen bei unseren Zahlungen in Euro im Rahmen der internationalen Beziehungen?","SVP","Jean-Pierre Grin","2015-03-27T16:38:21.000Z","Frankenstärke","1"
"150","Stopp bei den Personalkosten des Bundes","SVP","Peter Föhn","2015-03-27T16:39:45.000Z","Frankenstärke","1"
"151","IV-Leistungen für Menschen mit Behinderung, die das AHV-Alter erreicht haben","GPS","Luc Recordon","2015-03-27T16:40:31.000Z","KVG","1"
"152","Faires Verfahren beim Zugang zu geschlossenen Märkten des Bundes","FDP-Liberale","Andrea Caroni","2015-05-05T14:09:13.000Z","KVG","1"
"153","Steuerausfälle durch Entlastung des Kapitals in den letzten 20 Jahren","SP","Jacqueline Badran","2015-05-06T08:47:04.000Z","Unternehmenssteuerreform","1"
"154","Veränderung der Staatsbeiträge für Privatspitäler im Vergleich zu öffentlich-rechtlichen Spitälern","SP","Martina Munz","2015-05-06T14:10:18.000Z","KVG","1"
"155","Neue Spitalfinanzierung. Unzureichende Datenlieferung von Spitälern","FDP-Liberale","Bruno Pezzatti","2015-05-06T14:33:40.000Z","KVG","1"
"156","Frankenstärke. Entlastung von Arbeitnehmern und Arbeitgebern durch tiefere EO-Beiträge","FDP-Liberale","Ruedi Noser","2015-05-06T14:35:09.000Z","Frankenstärke","1"
"157","Klarer rechtlicher Rahmen für die Kommunikation, die Transparenz und die Glaubwürdigkeit der Eidgenössischen Finanzkontrolle","SVP","Guy Parmelin","2015-05-07T08:01:55.000Z","Unternehmenssteuerreform","1"
"158","Gesundheitswesen. Rechnungen oder Kopien immer an Patienten als Mittel zur Kostensenkung","BDP","Bernhard Guhl","2015-05-07T08:19:20.000Z","KVG","1"
"159","Bürokratieabbau. Weniger Aufwand bei der Erfassung der SOMED-Statistik","FDP-Liberale","Ignazio Cassis","2015-05-07T08:52:21.000Z","KVG","1"
"160","KVG. Roadmap zur Entflechtung der Mehrfachrolle der Kantone","FDP-Liberale","Ignazio Cassis","2015-05-07T08:53:54.000Z","KVG","1"
"161","Keine Prämiengeschenke vom Staat","FDP-Liberale","Ignazio Cassis","2015-05-07T08:55:20.000Z","KVG","1"
"162","Importabhängigkeit der Schweizer Landwirtschaft und Auswirkungen der Frankenstärke","glp","Kathrin Bertschy","2015-05-07T08:59:53.000Z","Frankenstärke","1"
"163","Was passiert mit der Schweizer Industrie?","GPS","Louis Schelbert","2015-05-07T09:27:57.000Z","Frankenstärke","1"
"164","Klarer rechtlicher Rahmen für die Kommunikation, die Transparenz und die Glaubwürdigkeit der Eidgenössischen Finanzkontrolle","FDP-Liberale","Fathi Derder","2015-05-07T09:38:49.000Z","Unternehmenssteuerreform","1"
"165","Unternehmen und Arbeitnehmende entlasten. Senkung der EO-Sätze statt Verlängerung","FDP-Liberale","Karin Keller-Sutter","2015-06-04T15:08:53.000Z","Frankenstärke","1"
"166","Rückzug des Medikamentes Perjeta","SP","Pierre-Alain Fridez","2015-03-31T14:15:42.000Z","KVG","1"
"167","Hinterfragen der Absatzförderung für Schweizer Fleisch auf Bundeskosten","GPS","Balthasar Glättli","2015-03-31T13:22:28.000Z","Frankenstärke","1"
"168","Mehrwertsteuerausfälle durch Einkaufstourismus","CVP","Kathy Riklin","2015-03-31T13:17:15.000Z","Frankenstärke","1"
"169","Frankenstärke und Medikamentenpreise. Wann profitieren die Prämienzahler vom Währungsvorteil?","SP","Prisca Birrer-Heimo","2015-03-31T14:17:42.000Z","Frankenstärke","1"
"170","Wie geht es weiter mit dem Unternehmensstandort Schweiz?","SVP","Thomas Hurter","2015-04-01T10:58:21.000Z","Unternehmenssteuerreform","1"
"171","Negativzinsen für Krankenkassen","SVP","Heinz Brand","2015-04-01T10:59:05.000Z","KVG","1"
"172","Strategie zur Elimination der Masern","CVP","Viola Amherd","2015-04-01T11:28:46.000Z","KVG","1"
"173","Wann übernimmt die Grundversicherung den Praenatest?","SP","Valérie Piller Carrard","2015-04-01T11:30:27.000Z","KVG","1"
"174","Frankenstärke. BFI-Bereich stärken","FDP-Liberale","Christian Wasserfallen","2015-04-01T11:05:23.000Z","Frankenstärke","1"
"175","Frankenstärke. Lehrstellen in Gefahr","SP","Bea Heim","2015-04-01T11:05:36.000Z","Frankenstärke","1"
"176","Zurückhaltung bei der Übernahme von EU-Recht","FDP-Liberale","Petra Gössi","2015-04-01T11:23:53.000Z","Frankenstärke","1"
"177","Die Frankenstärke gefährdet Wald- und Holzwirtschaft","SVP","Max Binder","2015-04-01T11:22:05.000Z","Frankenstärke","1"
